,Date,P_SUM
0,"03/25/2023, 10:35:28",104413.20931652511
1,"03/25/2023, 10:35:58",105771.38543460645
2,"03/25/2023, 10:36:28",103772.55220220234
3,"03/25/2023, 10:36:58",105454.38428694475
4,"03/25/2023, 10:37:28",111023.1440519498
5,"03/25/2023, 10:37:58",111282.64523252942
6,"03/25/2023, 10:38:29",122737.81831176102
7,"03/25/2023, 10:38:59",122584.03182688136
8,"03/25/2023, 10:39:29",95299.88478160434
9,"03/25/2023, 10:39:59",111364.79718444467
10,"03/25/2023, 10:40:29",99181.2792054843
11,"03/25/2023, 10:40:59",112412.77965106993
12,"03/25/2023, 10:41:30",131795.05130272766
13,"03/25/2023, 10:42:00",97206.47530442796
14,"03/25/2023, 10:42:30",129679.16447540258
15,"03/25/2023, 10:43:00",89449.3764069301
16,"03/25/2023, 10:43:30",72297.68816073368
17,"03/25/2023, 10:44:00",69886.2064797956
18,"03/25/2023, 10:44:31",78310.02914908859
19,"03/25/2023, 10:45:01",90814.44475229604
20,"03/25/2023, 10:45:31",123752.4419003754
21,"03/25/2023, 10:46:01",101604.1249875344
22,"03/25/2023, 10:46:31",100986.67699056602
23,"03/25/2023, 10:47:01",113529.48257389084
24,"03/25/2023, 10:47:31",113246.74195538412
25,"03/25/2023, 10:48:02",110697.34371660558
26,"03/25/2023, 10:48:32",107604.7490616506
27,"03/25/2023, 10:49:02",117093.36303812575
28,"03/25/2023, 10:49:32",105380.37016834608
29,"03/25/2023, 10:50:02",99586.35516825362
30,"03/25/2023, 10:50:32",107743.13544410426
31,"03/25/2023, 10:51:02",112232.2076750236
32,"03/25/2023, 10:51:33",107025.5727282055
33,"03/25/2023, 10:52:03",107918.06220717033
34,"03/25/2023, 10:52:33",111331.42300595086
35,"03/25/2023, 10:53:03",113042.20942299571
36,"03/25/2023, 10:53:33",117042.78679271616
37,"03/25/2023, 10:54:03",102490.53352237334
38,"03/25/2023, 10:54:34",111887.6298219458
39,"03/25/2023, 10:55:04",116442.02632331917
40,"03/25/2023, 10:55:34",104420.4584459043
41,"03/25/2023, 10:56:04",115786.67784329882
42,"03/25/2023, 10:56:34",111284.93431783048
43,"03/25/2023, 10:57:04",111249.47195602952
44,"03/25/2023, 10:57:35",106337.48705800058
45,"03/25/2023, 10:58:05",107453.69321405356
46,"03/25/2023, 10:58:35",116430.66386275264
47,"03/25/2023, 10:59:05",109115.00335736718
48,"03/25/2023, 10:59:35",110326.5025844975
49,"03/25/2023, 11:00:05",106314.67353895292
50,"03/25/2023, 11:00:35",111396.31684461593
51,"03/25/2023, 11:01:06",111186.4883494022
52,"03/25/2023, 11:01:36",117766.75592062317
53,"03/25/2023, 11:02:06",108436.93185327073
54,"03/25/2023, 11:02:36",113126.62468222433
55,"03/25/2023, 11:03:06",111415.64617759427
56,"03/25/2023, 11:03:37",101608.86481106534
57,"03/25/2023, 11:04:07",124645.3832425168
58,"03/25/2023, 11:04:37",111271.16088957836
59,"03/25/2023, 11:05:07",111345.14038786868
60,"03/25/2023, 11:05:37",105465.08634365047
61,"03/25/2023, 11:06:07",110110.96601127578
62,"03/25/2023, 11:06:37",112463.60486194708
63,"03/25/2023, 11:07:08",122942.92145237874
64,"03/25/2023, 11:07:38",106940.02889204772
65,"03/25/2023, 11:08:08",111417.36232633171
66,"03/25/2023, 11:08:38",103676.2600837864
67,"03/25/2023, 11:09:08",104057.18024274602
68,"03/25/2023, 11:09:38",109688.36567359055
69,"03/25/2023, 11:10:09",106196.22601415293
70,"03/25/2023, 11:10:39",99372.39836989928
71,"03/25/2023, 11:11:09",131230.6738625134
72,"03/25/2023, 11:11:39",95493.11873886218
73,"03/25/2023, 11:12:09",114690.47307730815
74,"03/25/2023, 11:12:39",106895.087215804
75,"03/25/2023, 11:13:10",87917.341707386
76,"03/25/2023, 11:13:40",97905.88117001115
77,"03/25/2023, 11:14:10",129018.51207224684
78,"03/25/2023, 11:14:40",76284.97290324859
79,"03/25/2023, 11:15:10",27099.671284046774
80,"03/25/2023, 11:15:40",406.2706519917399
